,summary_ch-0_quantile-0.9,summary_ch-0_quantile-0.5,summary_ch-0_quantile-0.1,summary_ch-0_mean,summary_ch-0_std,summary_ch-1_quantile-0.9,summary_ch-1_quantile-0.5,summary_ch-1_quantile-0.1,summary_ch-1_mean,summary_ch-1_std,summary_ch-2_quantile-0.9,summary_ch-2_quantile-0.5,summary_ch-2_quantile-0.1,summary_ch-2_mean,summary_ch-2_std
1011,0.95686274766922,0.9333333373069763,0.8705882430076599,0.91400397,0.06707051,0.9450980424880981,0.8784313797950745,0.6941176652908325,0.8443853,0.10859933,0.9529411792755127,0.9215686321258545,0.8313725590705872,0.9019912,0.059284624
1013,0.9529411792755127,0.9215686321258545,0.8745098114013672,0.90908563,0.06653044,0.9333333373069763,0.8352941274642944,0.7176470756530762,0.8239622,0.09603111,0.9450980424880981,0.8980392217636108,0.843137264251709,0.8915798,0.05525131
1014,0.9450980424880981,0.9176470637321472,0.8784313797950745,0.90242296,0.07494241,0.8823529481887817,0.8156862854957581,0.7372549176216125,0.8031862,0.08934176,0.9254902005195618,0.8941176533699036,0.8509804010391235,0.8834346,0.05473636
1015,0.9490196108818054,0.9215686321258545,0.8823529481887817,0.906685,0.07016118,0.9058823585510254,0.8274509906768799,0.7568627595901489,0.82042015,0.085905984,0.9333333373069763,0.8980392217636108,0.8588235378265381,0.89118844,0.052537747
1016,0.9529411792755127,0.9254902005195618,0.8823529481887817,0.9130203,0.06676534,0.9333333373069763,0.8549019694328308,0.7450980544090271,0.8393078,0.09498588,0.9490196108818054,0.9058823585510254,0.8549019694328308,0.89887625,0.05488374
1017,0.9529411792755127,0.929411768913269,0.8823529481887817,0.91365063,0.06871702,0.9372549057006836,0.8666666746139526,0.7450980544090271,0.8464965,0.09817021,0.9490196108818054,0.9137254953384399,0.8549019694328308,0.9025671,0.056401726
1018,0.9490196108818054,0.9176470637321472,0.886274516582489,0.9098145,0.059554316,0.9137254953384399,0.8313725590705872,0.7647058963775635,0.8274434,0.077377856,0.9372549057006836,0.8980392217636108,0.8627451062202454,0.89483714,0.04542108
1019,0.9411764740943909,0.9176470637321472,0.8823529481887817,0.9037309,0.069744825,0.8941176533699036,0.8274509906768799,0.7647058963775635,0.8197478,0.080653936,0.929411768913269,0.8980392217636108,0.8627451062202454,0.8905064,0.05024819
1020,0.9411764740943909,0.9176470637321472,0.886274516582489,0.90784836,0.059377097,0.8941176533699036,0.8352941274642944,0.7803921699523926,0.8296942,0.06980437,0.929411768913269,0.9019607901573181,0.8705882430076599,0.89471155,0.043750502
1021,0.9411764740943909,0.9176470637321472,0.886274516582489,0.90581256,0.056914482,0.886274516582489,0.8313725590705872,0.7764706015586853,0.82393485,0.06890796,0.9254902005195618,0.8980392217636108,0.8666666746139526,0.8926857,0.04143056
1022,0.9372549057006836,0.9137254953384399,0.8745098114013672,0.8964326,0.075381085,0.8823529481887817,0.8274509906768799,0.7607843279838562,0.81505996,0.08490117,0.9254902005195618,0.8980392217636108,0.8588235378265381,0.8865215,0.053611342
1023,0.9333333373069763,0.9098039269447327,0.886274516582489,0.90189534,0.055246837,0.8627451062202454,0.8156862854957581,0.7764706015586853,0.8119422,0.06153836,0.9176470637321472,0.8901960849761963,0.8666666746139526,0.887574,0.038962435
1024,0.929411768913269,0.9098039269447327,0.8823529481887817,0.8951799,0.06536297,0.8470588326454163,0.8078431487083435,0.7686274647712708,0.7988614,0.06909945,0.9058823585510254,0.886274516582489,0.8627451062202454,0.87974465,0.04468145
1025,0.9411764740943909,0.9176470637321472,0.8823529481887817,0.9039924,0.06254636,0.8980392217636108,0.8274509906768799,0.7764706015586853,0.82383263,0.07545693,0.929411768913269,0.8980392217636108,0.8666666746139526,0.8913974,0.046139378
1036,0.95686274766922,0.929411768913269,0.8705882430076599,0.913006,0.069999464,0.9529411792755127,0.8823529481887817,0.7803921699523926,0.8680478,0.09151922,0.95686274766922,0.9176470637321472,0.8588235378265381,0.9088538,0.057386052
1037,0.9529411792755127,0.9215686321258545,0.8470588326454163,0.90468293,0.06673173,0.9450980424880981,0.8588235378265381,0.7450980544090271,0.8485218,0.088613234,0.9529411792755127,0.9098039269447327,0.8392156958580017,0.899656,0.054464895
1038,0.9450980424880981,0.9137254953384399,0.8274509906768799,0.89445794,0.07496165,0.929411768913269,0.8509804010391235,0.7254902124404907,0.83328485,0.09287628,0.9450980424880981,0.9058823585510254,0.8274509906768799,0.89114916,0.058218043
1039,0.9450980424880981,0.9137254953384399,0.8313725590705872,0.89248466,0.075553946,0.929411768913269,0.8392156958580017,0.7254902124404907,0.8263489,0.093949676,0.9411764740943909,0.8980392217636108,0.8313725590705872,0.8879595,0.05861485
1040,0.9450980424880981,0.9058823585510254,0.7607843279838562,0.87547684,0.091523044,0.929411768913269,0.8117647171020508,0.6274510025978088,0.7888204,0.11688802,0.9411764740943909,0.886274516582489,0.7803921699523926,0.8693549,0.07155991
1041,0.9372549057006836,0.9058823585510254,0.8039215803146362,0.88086224,0.08788931,0.886274516582489,0.8078431487083435,0.686274528503418,0.79249775,0.100328274,0.9254902005195618,0.886274516582489,0.8156862854957581,0.87376004,0.06499009
1042,0.9333333373069763,0.9098039269447327,0.8666666746139526,0.8920136,0.078048155,0.8823529481887817,0.8235294222831726,0.7568627595901489,0.8122313,0.087098494,0.9215686321258545,0.8941176533699036,0.8549019694328308,0.88373107,0.056951612
1043,0.929411768913269,0.8980392217636108,0.8274509906768799,0.8736831,0.09061039,0.886274516582489,0.8156862854957581,0.7058823704719543,0.7943893,0.10326006,0.9215686321258545,0.886274516582489,0.8274509906768799,0.8706434,0.066202566
1044,0.9137254953384399,0.8823529481887817,0.8313725590705872,0.8660622,0.07556176,0.8745098114013672,0.800000011920929,0.7098039388656616,0.78718925,0.090084605,0.9098039269447327,0.8705882430076599,0.8235294222831726,0.86223125,0.05717107
1045,0.9058823585510254,0.8666666746139526,0.7450980544090271,0.8398044,0.09373703,0.8588235378265381,0.7764706015586853,0.6313725709915161,0.7550485,0.10790717,0.8980392217636108,0.8588235378265381,0.7764706015586853,0.84296995,0.06747321
1046,0.8980392217636108,0.8588235378265381,0.7882353067398071,0.84158444,0.07946133,0.843137264251709,0.7568627595901489,0.6509804129600525,0.74331236,0.095654756,0.8901960849761963,0.8470588326454163,0.7921568751335144,0.83765644,0.057809316
1047,0.8980392217636108,0.8549019694328308,0.7254902124404907,0.82700634,0.09995322,0.8235294222831726,0.7372549176216125,0.5921568870544434,0.71666974,0.11042513,0.8823529481887817,0.8392156958580017,0.7568627595901489,0.82457364,0.07027448
1048,0.9019607901573181,0.8588235378265381,0.7019608020782471,0.8269176,0.106111735,0.8117647171020508,0.7333333492279053,0.5607843399047852,0.7066224,0.11324892,0.886274516582489,0.8470588326454163,0.7490196228027344,0.82734716,0.07335736
1049,0.8980392217636108,0.8588235378265381,0.6941176652908325,0.824199,0.10797628,0.8039215803146362,0.7254902124404907,0.5529412031173706,0.69985515,0.1143255,0.8823529481887817,0.843137264251709,0.7411764860153198,0.82568544,0.073679134
1050,0.8980392217636108,0.8588235378265381,0.7019608020782471,0.82694167,0.10266604,0.8078431487083435,0.7254902124404907,0.5607843399047852,0.7037283,0.110538885,0.886274516582489,0.8470588326454163,0.7490196228027344,0.8281835,0.070084594
1051,0.8980392217636108,0.8470588326454163,0.6431372761726379,0.8078893,0.116838954,0.800000011920929,0.7019608020782471,0.49803921580314636,0.67376864,0.12430002,0.8823529481887817,0.8313725590705872,0.7058823704719543,0.8102394,0.080943234
1052,0.8980392217636108,0.8588235378265381,0.7372549176216125,0.8319231,0.095051125,0.8117647171020508,0.7333333492279053,0.5960784554481506,0.7121749,0.103703424,0.886274516582489,0.843137264251709,0.7647058963775635,0.8309574,0.064546674
1053,0.9019607901573181,0.8588235378265381,0.7270588397979758,0.83184844,0.09638255,0.8156862854957581,0.7333333492279053,0.5843137502670288,0.7124784,0.105532624,0.886274516582489,0.8470588326454163,0.7607843279838562,0.83129907,0.06557684
1054,0.9058823585510254,0.8627451062202454,0.7176470756530762,0.83215123,0.102579735,0.8235294222831726,0.7333333492279053,0.5764706134796143,0.7114725,0.11162173,0.8901960849761963,0.8470588326454163,0.7568627595901489,0.8313167,0.0705963
1055,0.9098039269447327,0.8666666746139526,0.7568627595901489,0.8415615,0.09521362,0.8235294222831726,0.7333333492279053,0.5960784554481506,0.717293,0.10716664,0.8941176533699036,0.8509804010391235,0.772549033164978,0.83611566,0.066376105
1056,0.9098039269447327,0.8627451062202454,0.6627451181411743,0.82557184,0.11104911,0.8196078538894653,0.7254902124404907,0.5254902243614197,0.69872075,0.12051659,0.8941176533699036,0.843137264251709,0.7254902124404907,0.8254042,0.07574326
1057,0.9254902005195618,0.8745098114013672,0.6980392336845398,0.8400669,0.112102956,0.8627451062202454,0.7529411911964417,0.5529412031173706,0.728223,0.12911548,0.9137254953384399,0.8549019694328308,0.7411764860153198,0.8389858,0.08067839
